date,address,subArea,area,room,sqm,floor,objectType,constructionYear,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2015-02-16,Skönviksvägen 289,Stureby,GronHagsatra,2,54,2,Lägenhet,1952,1995000,405000,2400000,3245,Notar,211.20141420542137,Bandhagen
2015-02-14,Skönviksvägen 286,Stureby,GronHagsatra,1.5,32,1,Lägenhet,1961,1595000,415000,2010000,2212,SkandiaMäklarna,294.0288155952216,Stureby
2015-02-13,Bastuhagsvägen 52,Stureby,GronHagsatra,2,47,3,Lägenhet,2014,2520000,0,2520000,2844,BOSTHLM,415.58063897944146,Stureby
2015-02-10,Bastuhagsvägen 14,Stureby,GronHagsatra,3,68,null,Lägenhet,1952,2350000,530000,2880000,3117,ERA,637.0570302457575,Stureby
2015-02-10,Tussmötevägen 225,Stureby,GronHagsatra,6,152,null,Villa,1923,7300000,1850000,9150000,null,Bjurfors,604.6753285010932,Stureby
2015-02-10,Östrandsvägen 76,Stureby,GronHagsatra,3,72,3,Lägenhet,1950,2395000,255000,2650000,3634,Bjurfors,1038.4459804232827,Stureby
2015-02-06,Götaforsvägen 5,Stureby,GronHagsatra,2,55,null,Lägenhet,1952,1995000,670000,2665000,3309,Erik Olsson Fastighetsförmedling,355.1234178123567,Stureby
2015-02-06,Bastuhagsvägen 51,Stureby,GronHagsatra,2,36.5,3,Lägenhet,2015,2150000,25000,2175000,2395,HusmanHagberg,522.5142505712612,Stureby
2015-02-04,Skönviksvägen 315,Stureby,GronHagsatra,3,69,1,Lägenhet,1952,2475000,405000,2880000,3891,Mäklarhuset,291.97878067154153,Bandhagen
2015-02-04,Skönviksvägen 293,Stureby,GronHagsatra,1,19,1,Lägenhet,1954,995000,245000,1240000,1298,Mäklarhuset,225.04865871031927,Bandhagen
2015-02-04,Skönviksvägen 293,Stureby,GronHagsatra,2,57,1,Lägenhet,1954,1995000,305000,2300000,3295,Mäklarhuset,225.04865871031927,Bandhagen
2015-01-29,Götaforsvägen 15,Stureby,GronHagsatra,1,35,4,Lägenhet,1952,1595000,505000,2100000,2027,HusmanHagberg,411.86636220899095,Bandhagen
2015-01-27,Götaforsvägen 22,Stureby,GronHagsatra,3,67,1,Lägenhet,1952,2095000,780000,2875000,3718,Svensk Fastighetsförmedling,372.7641293694795,Bandhagen
2015-01-27,Bjulevägen 20,Stureby,GronHagsatra,2,56,1,Lägenhet,1950,1795000,0,1795000,4171,ERA,1035.5254931317625,Stureby
