date,address,subArea,area,room,sqm,floor,objectType,constructionYear,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
202013-09-27,Dörrvägen 4,Gubbangen,GronHagsatra,2,53,2,Lägenhet,1948,1595000,5000,1600000,3142,ERA,258.1675702576046,Gubbangen
202013-09-26,Knektvägen 17,Gubbangen,GronHagsatra,2,54,2,Lägenhet,1947,1495000,205000,1700000,3119,SkandiaMäklarna,83.43158728673211,Gubbangen
202013-09-25,Majrovägen 1,Gubbangen,GronHagsatra,4,92,4,Lägenhet,null,2900000,400000,3300000,5829,Svensk Fastighetsförmedling,233.881443341955,Gubbangen
202013-09-09,Lemmings väg 51,Gubbangen,GronHagsatra,5,81,null,Villa,1942,4495000,-145000,4350000,null,Mäklarhuset,835.1200437106481,Gubbangen
202013-09-04,Dörrvägen 10,Gubbangen,GronHagsatra,3,64,3,Lägenhet,1948,null,NaN,2140000,3763,ERA,268.99460185102566,Gubbangen
202013-08-30,Getfotsvägen 13,Gubbangen,GronHagsatra,1.5,56,null,Lägenhet,2008,1550000,50000,1600000,3435,Fastighetsbyrån,386.0426043035413,Gubbangen
202013-08-28,Getfotsvägen 11,Gubbangen,GronHagsatra,4,93.5,3,Lägenhet,null,2995000,400000,3395000,4882,Erik Olsson Fastighetsförmedling,375.6074051286519,Gubbangen
202013-08-23,Lemmings väg 45,Gubbangen,GronHagsatra,6,64,null,Villa,1946,3975000,325000,4300000,null,Mäklarringen,830.7474090484089,Gubbangen
202013-08-23,Bordsvägen 55,Gubbangen,GronHagsatra,3,68,1,Lägenhet,null,2100000,100000,2200000,3492,ERA,269.8677594027265,Gubbangen
202013-08-14,Bordsvägen 62,Gubbangen,GronHagsatra,3,68,1,Lägenhet,null,1995000,205000,2200000,3475,ERA,243.5626680928199,Gubbangen
202013-07-18,Kryddgränd 6,Gubbangen,GronHagsatra,3,98,null,Lägenhet,1985,1450000,-50000,1400000,5798,Fastighetsbyrån,474.48525722183007,Gubbangen
202013-07-15,Bordsvägen 53,Gubbangen,GronHagsatra,3,68,0.5,Lägenhet,1948,1995000,195000,2190000,3492,Svensk Fastighetsförmedling,261.04927378401817,Gubbangen
202013-07-01,Majrovägen 23,Gubbangen,GronHagsatra,4,93,2,Lägenhet,1997,2450000,50000,2500000,6417,Svensk Fastighetsförmedling,294.05370570506363,Gubbangen
202013-06-04,Sicklingsvägen 3,Gubbangen,GronHagsatra,1,25,4,Lägenhet,1947,1350000,50000,1400000,1518,ERA,120.18685345402046,Gubbangen
202013-06-01,Rubanksgränd 5,Gubbangen,GronHagsatra,3,89,null,Lägenhet,1952,2695000,-95000,2600000,5688,Svensk Fastighetsförmedling,549.2580525083961,Gubbangen
202013-05-30,Bordsvägen 70,Gubbangen,GronHagsatra,3,68,null,Lägenhet,null,1890000,265000,2155000,3562,Gripsholms Fastighetsförmedling,274.5244659070136,Gubbangen
202013-05-30,Lemmings väg 74,Gubbangen,GronHagsatra,5,79,null,Lägenhet,1948,3300000,150000,3450000,null,ERA,852.9472538450574,Gubbangen
202013-05-27,Majrovägen 5,Gubbangen,GronHagsatra,4,94,null,Lägenhet,null,2500000,150000,2650000,5908,Svensk Fastighetsförmedling,243.04967023197162,Gubbangen
202013-05-13,Kryddgränd 4,Gubbangen,GronHagsatra,2,61,null,Lägenhet,1985,1595000,80000,1675000,3153,Fastighetsbyrån,542.6042547000668,Gubbangen
202013-05-09,Bordsvägen 47,Gubbangen,GronHagsatra,2,53,2,Lägenhet,1948,1650000,50000,1700000,2856,Mäklarhuset,211.48371133602933,Gubbangen
202013-05-07,Rubanksgränd 4,Gubbangen,GronHagsatra,4,85,4,Lägenhet,2007,2625000,325000,2950000,6111,Länsförsäkringar Fastighetsförmedling,494.6562129974191,Gubbangen
202013-05-04,Kryddgränd 6,Gubbangen,GronHagsatra,2,71,3,Lägenhet,1985,1100000,130000,1230000,4711,Svensk Fastighetsförmedling,474.48525722183007,Gubbangen
202013-04-26,Bordsvägen 33A,Gubbangen,GronHagsatra,2,54,null,Lägenhet,1947,1495000,135000,1630000,3576,Privatmäklaren,215.36130334727267,Gubbangen
202013-04-26,Bordsvägen 33A,Gubbangen,GronHagsatra,2,54,null,Lägenhet,1947,1495000,135000,1630000,3576,Privatmäklaren,215.36130334727267,Gubbangen
202013-04-13,Lemmings väg 60,Gubbangen,GronHagsatra,4,96,null,Radhus,null,3650000,615000,4265000,null,BOSTHLM,833.8432542322328,Gubbangen
202013-04-13,Getfotsvägen 13,Gubbangen,GronHagsatra,2,63.5,3,Lägenhet,2009,1950000,60000,2010000,3799,Svensk Fastighetsförmedling,386.0426043035413,Gubbangen
202013-04-10,Lingvägen 122,Gubbangen,GronHagsatra,3,68,null,Lägenhet,2010,2050000,400000,2450000,4481,Fastighetsbyrån,259.04539488153176,Gubbangen
202013-04-05,Kistvägen 14,Gubbangen,GronHagsatra,2,57,null,Lägenhet,1948,1600000,25000,1625000,3716,Notar,102.17656324886774,Gubbangen
202013-03-11,Getfotsvägen 3,Gubbangen,GronHagsatra,2,52,null,Lägenhet,1952,1550000,240000,1790000,2797,Svensk Fastighetsförmedling,298.7560805736578,Gubbangen
202013-02-28,Skrinvägen 4,Gubbangen,GronHagsatra,2,60,3,Lägenhet,1947,1650000,-100000,1550000,2769,Mäklarhuset,316.99292387057466,Gubbangen
202013-02-18,Majrovägen 3,Gubbangen,GronHagsatra,3,71,2,Lägenhet,null,2100000,100000,2200000,4798,Svensk Fastighetsförmedling,229.86291573149958,Gubbangen
202013-02-16,Sicklingsvägen 18,Gubbangen,GronHagsatra,3,68,1,Lägenhet,1948,1950000,220000,2170000,3492,Svenska Mäklarhuset,233.52441150482542,Gubbangen
